Source,Target,signal
PDPK1,AKT1,a
PDPK1,DGKZ,a
PIP3,PDPK1,a
PIP2,PDPK1,a
PIK3CG,PIP2,a
PIK3CG,PIK3R3,a
PIK3R3,PIK3CG,a
PIK3CG,PIK3CG,a
PIP2,PIP3,a
SOCS1,STAT3,i
SOCS1,JAK2,i
SOCS2,STAT3,i
SOCS2,JAK2,i
SOCS3,STAT3,i
SOCS3,JAK2,i
SOCS1,SOCS3,a
SOCS1,SOCS2,a
SOCS2,SOCS3,a
SOCS2,SOCS1,a
SOCS3,SOCS2,a
SOCS3,SOCS1,a
STAT3,STAT3,a
STAT3,JAK2,a
STAT3,LEPR,a
PIK3CG,PIP2,a
PIK3CG,PIK3R3,a
PIK3R3,PIK3CG,a
PIP2,PIK3CG,a
LEPR,LEP,a
LEP,LEPR,a
LEPR,JAK2,a
LEPR,STAT3,a
JAK2,JAK2,a
JAK2,STAT3,a
JAK2,LEPR,a
LEP,JAK2,a
LEP,STAT3,a
INS,INSR,a
INSR,INS,a
INSR,IRS1,a
INSR,IRS2,a
INSR,Irs3,a
INSR,IRS4,a
INSR,IRS,a
IRS1,INSR,a
IRS1,IRS2,a
IRS1,Irs3,a
IRS1,IRS4,a
IRS1,IRS,a
IRS2,INSR,a
IRS2,IRS2,a
IRS2,Irs3,a
IRS2,IRS4,a
IRS2,IRS,a
Irs3,INSR,a
Irs3,IRS2,a
Irs3,Irs3,a
Irs3,IRS4,a
Irs3,IRS,a
IRS4,INSR,a
IRS4,IRS2,a
IRS4,Irs3,a
IRS4,IRS4,a
IRS4,IRS,a
IRS,PICK3CG,a
IRS,PIK3R3,a
