Source,Target,signal,Program
B-cell,CD28,u,Wikinetworks
CD40LG,CD40,u,Wikinetworks
B-cell,CD40LG,u,Wikinetworks
CD86,CD80,a,Wikinetworks
CD80,CD86,a,Wikinetworks
COL1A2,COL1A1,a,Wikinetworks
COL1A1,COL1A2,a,Wikinetworks
LAMA5,FN1,a,Wikinetworks
LAMB1,FN1,a,Wikinetworks
LAMB2,FN1,a,Wikinetworks
LAMC1,FN1,a,Wikinetworks
LAMC2,FN1,a,Wikinetworks
THBS1,FN1,a,Wikinetworks
THBS3,FN1,a,Wikinetworks
VTN,FN1,a,Wikinetworks
IL2,IFNG,a,Wikinetworks
IL4,IFNG,a,Wikinetworks
IL5,IFNG,a,Wikinetworks
TH-cell,IFNG,a,Wikinetworks
B-cell,IGHA1,u,Wikinetworks
IGHA2,IGHA1,a,Wikinetworks
IGHM,IGHA1,a,Wikinetworks
B-cell,IGHA2,u,Wikinetworks
IGHA1,IGHA2,a,Wikinetworks
IGHM,IGHA2,a,Wikinetworks
B-cell,IGHM,u,Wikinetworks
IGHA1,IGHM,a,Wikinetworks
IGHA2,IGHM,a,Wikinetworks
IFNG,IL2,a,Wikinetworks
IL4,IL2,a,Wikinetworks
IL5,IL2,a,Wikinetworks
TH-cell,IL2,a,Wikinetworks
IL2RB,IL2RA,a,Wikinetworks
IL2RG,IL2RA,a,Wikinetworks
TH-cell,IL2RA,u,Wikinetworks
IL2RA,IL2RB,a,Wikinetworks
IL2RG,IL2RB,a,Wikinetworks
TH-cell,IL2RB,u,Wikinetworks
IL2RA,IL2RG,a,Wikinetworks
IL2RB,IL2RG,a,Wikinetworks
TH-cell,IL2RG,u,Wikinetworks
IFNG,IL4,a,Wikinetworks
IL2,IL4,a,Wikinetworks
IL5,IL4,a,Wikinetworks
TH-cell,IL4,a,Wikinetworks
B-cell,IL4R,u,Wikinetworks
IFNG,IL5,a,Wikinetworks
IL2,IL5,a,Wikinetworks
IL4,IL5,a,Wikinetworks
TH-cell,IL5,a,Wikinetworks
B-cell,IL5RA,u,Wikinetworks
FN1,LAMA5,a,Wikinetworks
LAMB1,LAMA5,a,Wikinetworks
LAMB2,LAMA5,a,Wikinetworks
LAMC1,LAMA5,a,Wikinetworks
LAMC2,LAMA5,a,Wikinetworks
THBS1,LAMA5,a,Wikinetworks
THBS3,LAMA5,a,Wikinetworks
VTN,LAMA5,a,Wikinetworks
FN1,LAMB1,a,Wikinetworks
LAMA5,LAMB1,a,Wikinetworks
LAMB2,LAMB1,a,Wikinetworks
LAMC1,LAMB1,a,Wikinetworks
LAMC2,LAMB1,a,Wikinetworks
THBS1,LAMB1,a,Wikinetworks
THBS3,LAMB1,a,Wikinetworks
VTN,LAMB1,a,Wikinetworks
FN1,LAMB2,a,Wikinetworks
LAMA5,LAMB2,a,Wikinetworks
LAMB1,LAMB2,a,Wikinetworks
LAMC1,LAMB2,a,Wikinetworks
LAMC2,LAMB2,a,Wikinetworks
THBS1,LAMB2,a,Wikinetworks
THBS3,LAMB2,a,Wikinetworks
VTN,LAMB2,a,Wikinetworks
FN1,LAMC1,a,Wikinetworks
LAMA5,LAMC1,a,Wikinetworks
LAMB1,LAMC1,a,Wikinetworks
LAMB2,LAMC1,a,Wikinetworks
LAMC2,LAMC1,a,Wikinetworks
THBS1,LAMC1,a,Wikinetworks
THBS3,LAMC1,a,Wikinetworks
VTN,LAMC1,a,Wikinetworks
FN1,LAMC2,a,Wikinetworks
LAMA5,LAMC2,a,Wikinetworks
LAMB1,LAMC2,a,Wikinetworks
LAMB2,LAMC2,a,Wikinetworks
LAMC1,LAMC2,a,Wikinetworks
THBS1,LAMC2,a,Wikinetworks
THBS3,LAMC2,a,Wikinetworks
VTN,LAMC2,a,Wikinetworks
TH-cell,LCK,u,Wikinetworks
ZAP70,LCK,a,Wikinetworks
FN1,THBS1,a,Wikinetworks
LAMA5,THBS1,a,Wikinetworks
LAMB1,THBS1,a,Wikinetworks
LAMB2,THBS1,a,Wikinetworks
LAMC1,THBS1,a,Wikinetworks
LAMC2,THBS1,a,Wikinetworks
THBS3,THBS1,a,Wikinetworks
VTN,THBS1,a,Wikinetworks
FN1,THBS3,a,Wikinetworks
LAMA5,THBS3,a,Wikinetworks
LAMB1,THBS3,a,Wikinetworks
LAMB2,THBS3,a,Wikinetworks
LAMC1,THBS3,a,Wikinetworks
LAMC2,THBS3,a,Wikinetworks
THBS1,THBS3,a,Wikinetworks
VTN,THBS3,a,Wikinetworks
CD28,TH-cell,u,Wikinetworks
CD40,TH-cell,u,Wikinetworks
TNFRSF1B,TNFRSF1A,a,Wikinetworks
TNFRSF1A,TNFRSF1B,a,Wikinetworks
FN1,VTN,a,Wikinetworks
LAMA5,VTN,a,Wikinetworks
LAMB1,VTN,a,Wikinetworks
LAMB2,VTN,a,Wikinetworks
LAMC1,VTN,a,Wikinetworks
LAMC2,VTN,a,Wikinetworks
THBS1,VTN,a,Wikinetworks
THBS3,VTN,a,Wikinetworks
LCK,ZAP70,a,Wikinetworks
TH-cell,ZAP70,u,Wikinetworks
