Source,Target,signal
PIK3R1,AKT1,a
RPS6,BCL2,a
GRB2,CBL,a
SHC1,CBL,a
STAT5B,CCND2,a
STAT5A,CCND2,a
IL2RB,CISH,a
GRB2,CRKL,a
GAB2,CRKL,a
CBL,CRKL,a
MAPK3,FOS,a
MAPK1,FOS,a
AKT1,FOXO3A,a
IL2RB,FYN,a
GRB2,GAB2,a
SHC1,GRB2,a
SOS1,HRAS,a
STAT5B,IL2RA,a
STAT5A,IL2RA,a
IL2,IL2RA,a
LCK,IL2RB,a
JAK1,IL2RB,a
IL2,IL2RB,a
IL2,IL2RG,a
JAK3,JAK1,a
SOCS3,JAK1,i
IL2RB,JAK3,a
IL2RG,JAK3,a
MAPK3,JUN,a
MAPK1,JUN,a
JAK1,LCK,a
RAF1,MAP2K1,a
MAP2K2,MAPK1,a
MAP2K1,MAPK1,a
MAP2K2,MAPK3,a
MAP2K1,MAPK3,a
AKT1,MTOR,a
RPS6,MYC,a
STAT5B,NMI,a
GAB2,PIK3R1,a
LCK,PIK3R1,a
CBL,PIK3R1,a
JAK1,PIK3R1,a
FYN,PIK3R1,a
JAK3,PTK2B,a
GRB2,PTPN11,a
GAB2,PTPN11,a
PIK3R1,PTPN11,a
HRAS,RAF1,a
RPS6KB2,RPS6,a
RPS6KB1,RPS6,a
MTOR,RPS6KB1,a
IL2RB,SHC1,a
JAK1,SHC1,a
GRB2,SOS1,a
JAK3,STAT3,a
IL2RB,STAT1,a
IL2RB,STAT3,a
STAT1,STAT3,a
JAK3,STAT5A,a
STAT5B,STAT5A,a
IL2RB,STAT5A,a
PTPN11,STAT5A,a
JAK3,STAT5B,a
IL2RB,STAT5B,a
PTPN11,STAT5B,a
IL2RB,SYK,a
IL2RA,IL2,a
IL2RA,IL2RB,a
IL2RA,IL2RG,a
IL2RB,IL2RB,u
IL2RB,IL2RA,a
IL2RB,IL2RG,a
IL2RB,IL2,a
IL2RG,IL2,a
IL2RG,IL2RB,a
IL2RG,IL2RA,a
MAP2K1,MAP2K2,a
MAP2K2,MAP2K1,a
MAPK1,MAPK3,a
MAPK3,MAPK1,a
RPS6KB1,RPS6KB2,a
RPS6KB2,RPS6KB1,a
STAT1,STAT1,a
STAT3,STAT3,a
STAT3,STAT1,a
STAT5A,STAT5B,a
STAT5A,STAT5A,a
