Source,Target,signal
PIK3R2,AKT1,a
PIK3R1,AKT1,a
AKT1,BAD,a
STAT5B,BCL2L1,a
STAT5A,BCL2L1,a
STAT5B,CCND1,a
STAT5A,CCND1,a
GSK3B,CDKN1B,i
IL2RG,FYN,a
IL7R,FYN,a
AKT1,GSK3B,a
STAT5B,IL2RA,a
STAT5A,IL2RA,a
IL7,IL2RG,a
IL7,IL7R,a
IL2RG,JAK1,a
PTK2B,JAK1,a
IL7R,JAK1,a
IL2RG,JAK3,a
IL7R,JAK3,a
IL2RG,MAP2K1,a
IL7R,MAP2K1,a
MAP2K1,MAPK1,a
MAP2K2,MAPK1,a
MAP2K1,MAPK3,a
MAP2K2,MAPK3,a
STAT5B,MYC,a
STAT5A,MYC,a
IL2RG,PIK3R1,a
IL7R,PIK3R1,a
IL2RG,PTK2B,a
IL7R,PTK2B,a
IL2RG,STAT1,a
IL7R,STAT1,a
IL2RG,STAT3,a
IL7R,STAT3,a
JAK1,STAT5A,a
IL2RG,STAT5A,a
IL7R,STAT5A,a
JAK1,STAT5B,a
STAT5A,STAT5B,a
IL2RG,STAT5B,a
IL7R,STAT5B,a
STAT5B,STAT5A,a
PIK3R2,PIK3R1,a
STAT5A,STAT5A,a
IL7R,IL2RG,a
PIK3R1,PIK3R2,a
MAP2K1,MAP2K2,a
MAP2K1,MAP2K1,a
MAPK3,MAPK1,a
MAPK1,MAPK3,a
IL2RG,IL7R,a
MAP2K2,MAP2K1,a
GSK3B,CDKN1B,a
STAT5B,STAT5A,a
PIK3R2,PIK3R1,a
IL7R,IL2RG,a
PIK3R1,PIK3R2,a
MAP2K1,MAP2K2,a
MAP2K1,MAP2K1,a
MAPK3,MAPK1,a
MAPK1,MAPK3,a
IL2RG,IL7R,a
MAP2K2,MAP2K1,a
GSK3B,CDKN1B,a
IL2RG,IL7,a
